Timestamp,How would you rate your level of comfort with learning and using new technology?,Have you experienced any of the following challenges associated with the emergency deployment of remote courses? (Select all that apply or ),Which of the following digital platforms were implemented in your courses after the switch to remote learning? (Select all that apply or ),Please describe your experiences with at least one of the above platforms (or write  if ).,Describe a creative or inventive method that an instructor implemented to improve your remote course or to help students.,"What aspects, if any, of in-person classes did you miss this spring?",How likely are you to enroll in an online course in the future (assuming there are options for both online and in-person sessions)?,How has your overall perception of online learning changed during the semester of Spring 2020?,Please share any other thoughts you have regarding your experience with remote courses in spring 2020 (optional). 
2020/05/29 3:54:06 PM MDT,1,Communicative (communicating and engaging with peers and instructors);Personal (decline in concentration/motivation and other mental factors),Zoom;Panopto;Padlet;VoiceThread;LockDown Browser,,A support system.. one of my professors created a GroupMe with all of the students so we can support each other in case we needed help mentally or academically.,The in-person meetings I like to have. I feel like this helped me a lot.,4,I dislike the idea of online classes mostly because I need the engagement.,
2020/05/29 4:07:19 PM MDT,4,Technological (utilizing technology and connecting to online resources);Time-related (time zone differences or drastic changes in regular class times and deadlines);Communicative (communicating and engaging with peers and instructors);Personal (decline in concentration/motivation and other mental factors),Zoom;Panopto;VoiceThread,zoom has been an efficient tool to increase limitations on communication.,adding participation for joining calls and lectures,the liberty of asking questions and working with others ,4,Very hard ,"Have more student engagement.  After this transition, it is difficult for many to feel like they are in school"
2020/05/29 4:25:19 PM MDT,3,Personal (decline in concentration/motivation and other mental factors),Zoom;Panopto,Pretty straightforward ,Ece instructor used panopto and made us do word documents for participation,The environment and human interaction with instructors ,2,It is very much personal ,
2020/05/29 4:26:09 PM MDT,4,Technological (utilizing technology and connecting to online resources);Communicative (communicating and engaging with peers and instructors),Zoom;Panopto;VoiceThread;LockDown Browser,They all work pretty well,Making checklists for students on D2L was very helpful,Seeing my teachers face to face and seeing my friends,2,It was fine,
2020/05/29 4:26:12 PM MDT,3,"Technological (utilizing technology and connecting to online resources);Accessibility (seeing, hearing, or otherwise accessing course material);Communicative (communicating and engaging with peers and instructors);Personal (decline in concentration/motivation and other mental factors)",Zoom;Panopto,,Recorded videos. ,Working with the TAs.,3,Itâ€™s as motivating as in person classes. ,
2020/05/29 4:28:00 PM MDT,3,"Technological (utilizing technology and connecting to online resources);Accessibility (seeing, hearing, or otherwise accessing course material);Personal (decline in concentration/motivation and other mental factors)",Zoom;VoiceThread,"Zoom works however, it is not effective when we are assigned to stare at a screen for 3.5 hours for class. The only other issue was random people disrupting class.",,"Seeing my friends, being able to talk to a professor face to face, and studying at the library",3,"Horrible, I miss in-person courses however, it is unlikely that I will feel safe returning to campus unless certain measures are taken. ",I felt like I learned nothing. I did not retain any information because some of my professors added on to our course load rather than adjusting it to the current situation.
2020/05/29 4:34:46 PM MDT,5,Personal (decline in concentration/motivation and other mental factors),Slack,I feel like I got more out of being able to have everyone come together and freely express their thoughts through our Slack channel.,The instructor would allow us discuss an interesting topic once a week that was unrelated to our course work ; that gave us the chance to network with each other regards of the circumstance. ,,5,It changed how I view my own methods of learning. As I had to adapt it changed which methods do and do not work me. ,"I really enjoyed it, it definitely gave me a lot more flexibility with my personal schedule. "
2020/05/29 4:43:00 PM MDT,1,Time-related (time zone differences or drastic changes in regular class times and deadlines);Communicative (communicating and engaging with peers and instructors);Personal (decline in concentration/motivation and other mental factors),Zoom;Panopto;Playposit;VoiceThread;LockDown Browser,"At times teachers would have issues uploading lectures and it would mess up my schedule for completing work, putting me a week behind.",Professors would put up multiple 10 minute or less video lectures that were fantastic!,I missed the structure it provided and the interaction with peers I could have.,2,I've learned I can do online classes fairly well.,COVID-19 sucks. I want to see people and I was so unmotivated to do work. Why do I need to pass chemistry if I might be hospitalized cuz of my asthma? Proved to me I have resilience but I'm so done with it.
2020/05/29 4:53:40 PM MDT,3,Communicative (communicating and engaging with peers and instructors);Personal (decline in concentration/motivation and other mental factors),Zoom;VoiceThread,"Zoom was relatively good at providing virtual classrooms. However, it seemed to have poor security. VoiceThread was only used for audio responses in one of courses. For this purpose, it was very solid at recording and publishing.",Online Review Sessions that were recorded as well,Ability to interact with peers about course material ,3,"I believe that it can be a useful tool to enhance learning done in the classroom, especially to those that learn better outside of the classroom. It should be a possible option for students that work best in this situation.",
2020/05/29 4:55:55 PM MDT,4,Technological (utilizing technology and connecting to online resources);Personal (decline in concentration/motivation and other mental factors),Zoom;LockDown Browser,"Zoom internet connection is unstable, but that is mainly due to the internet connectivity overall",Online lectures and Zoom study sessions,The in-person nature of it,3,It did not really change,
